Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,100nF,
"D1, D2, D3, D4",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4,WS2812B,C114587
J1,PinSocket_1x08_P2.54mm_Vertical,1,Power,
J2,PinSocket_1x10_P2.54mm_Vertical,1,Digital/PWM,
J3,PinSocket_1x06_P2.54mm_Vertical,1,Analog,
J4,PinSocket_1x08_P2.54mm_Vertical,1,Digital/PWM,
"J5, J7",PinSocket_1x03_P2.54mm_Vertical,2,Neopixel,
J6,"PhoenixContact_MSTBVA_2,5_2-G_1x02_P5.00mm_Vertical",1,PowerIn,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
"R1, R2",0805,2,10k,
"RV1, RV2, RV3",Potentiometer_Runtron_RM-065_Vertical,3,10k,
U1,SOT-563,1,TMP102xxDRL,C99269
